sent_idx,surface,tam,comp,subjtype,pattern,head_lemma,subject_text,aux_chain,following_word,complements,instance_atp,instance_dpb,instance_hr
6,we people are endowed Unlike animals,pres-be,pp_unlike_NP,PL_NP,"pres-be,pp_unlike_NP",endow,we people,"['are', 'endowed']",brain,"{'pp_unlike': 'Unlike animals', 'prep_head': 'unlike', 'pp_with': 'with a brain capable of imagining inventing and dreaming'}",0.14622552148726217,0.2921508326492978,2.0
3,being dragged along a stiflingly crowed bus,prog-be,pp_along_NP,DEF_NP,"prog-be,pp_along_NP",drag,,"['being', 'dragged']",stiflingly,"{'pp_along': 'along a stiflingly crowed bus', 'prep_head': 'along'}",0.10214775684324787,0.20357728727119165,0.0
7,which can be strived towards,modal-be,pp_towards_NP,REL,"modal-be,pp_towards_NP",strive,which,"['can', 'be', 'strived']",hardly,"{'pp_towards': 'towards', 'prep_head': 'towards'}",0.5071763379444445,0.8751863762607806,2.75
10,they should be strived towards,modal-be,pp_towards_NP,PRON,"modal-be,pp_towards_NP",strive,they,"['should', 'be', 'strived']",has,"{'pp_towards': 'towards', 'prep_head': 'towards'}",0.4985859379472493,0.8751863762607806,2.75
4,others are left below the povertyline,pres-be,pp_below_NP,PL_NP,"pres-be,pp_below_NP",leave,others,"['are', 'left']",povertyline,"{'pp_below': 'below the povertyline', 'prep_head': 'below'}",0.1420138638938904,0.2756816621331299,0.0
14,a lot of concepts about education related to boys and girls should be revised Notwithstanding the fact that nowadays kids are having more wise kinds of education,modal-be,pp_notwithstanding_NP,INDEF_NP,"modal-be,pp_notwithstanding_NP",revise,a lot of concepts about education related to boys and girls,"['should', 'be', 'revised']",,"{'pp_notwithstanding': 'Notwithstanding the fact that nowadays kids are having more wise kinds of education', 'prep_head': 'notwithstanding'}",0.47595933684535496,0.7842772853516896,0.0
5,the technology has been improved along the years,perf-be,pp_along_NP,DEF_NP,"perf-be,pp_along_NP",improve,the technology,"['has', 'been', 'improved']",years,"{'pp_along': 'along the years', 'prep_head': 'along'}",0.38944666211967754,0.10762176033149329,1.0
5,this influence can be observed beyond this social group,modal-be,pp_beyond_NP,DEF_NP,"modal-be,pp_beyond_NP",observe,this influence,"['can', 'be', 'observed']",social,"{'pp_beyond': 'beyond this social group', 'prep_head': 'beyond'}",0.3808010231345881,0.36712186013174836,0.0
2,life should be supported until the end,modal-be,pp_until_NP,DEF_NP,"modal-be,pp_until_NP",support,life,"['should', 'be', 'supported']",end,"{'pp_until': 'until the end', 'prep_head': 'until'}",0.35834782957659683,0.312161166176747,0.0
4,that wealth is divided amongst few people who are usually not productive,pres-be,pp_amongst_NP,DEF_NP,"pres-be,pp_amongst_NP",divide,that wealth,"['is', 'divided']",few,"{'pp_amongst': 'amongst few people who are usually not productive', 'prep_head': 'amongst'}",0.10064527634847255,0.19848376713644086,2.0
2,that is expected to replace the formers in a not distant future,pres-be,pp_along_NP,REL,"pres-be,pp_along_NP",expect,that,"['is', 'expected']",replace,"{'pp_along': 'along with the internet', 'prep_head': 'along', 'to_vp': 'to replace the formers in a not distant future'}",0.10794306292155911,0.2119053719407242,2.0
5,only 835 were donated out of the 17 429 transplants in 2005,past-be,pp_out_NP,DEF_NP,"past-be,pp_out_NP",donate,only 835,"['were', 'donated']",spouse,"{'pp_out': 'out of the 17 429 transplants in 2005', 'prep_head': 'out', 'pp_from': 'from a spouse'}",0.13209617911320792,0.2635830183557124,2.725480556997868
5,only 835 were donated out of the 17 429 transplants in 2005,past-be,pp_out_NP,DEF_NP,"past-be,pp_out_NP",donate,only 835,"['were', 'donated']",spouse,"{'pp_out': 'out of the 17 429 transplants in 2005', 'prep_head': 'out', 'pp_from': 'from a spouse'}",0.13209617911320792,0.2635830183557124,2.725480556997868
2,Things are being is experinced off its regular time,prog-be,pp_off_NP,PL_NP,"prog-be,pp_off_NP",experince,Things,"['are', 'being', 'is', 'experinced']",regular,"{'pp_off': 'off its regular time', 'prep_head': 'off'}",0.14868668424751288,0.8945621985089899,1.0
13,the transport facilities have been improved between Hong Kong and mainland China,perf-be,pp_between_NP,PL_NP,"perf-be,pp_between_NP",improve,the transport facilities,"['have', 'been', 'improved']",Hong,"{'pp_between': 'between Hong Kong and mainland China', 'prep_head': 'between'}",0.36752097074264933,0.10762176033149329,1.584962500721156
5,the disposal of waste from households and commercial and industries can be landfilled several stories over Victoria Park,modal-be,pp_over_NP,DEF_NP,"modal-be,pp_over_NP",landfille,the disposal of waste from households and commercial and industries,"['can', 'be', 'landfilled']",several,"{'pp_over': 'several stories over Victoria Park', 'prep_head': 'over'}",0.3821726835079586,0.3751863762607806,2.7954618442383214
7,the decision of banning smoke should be left up to the Industry rather than to the government,modal-be,pp_than_NP,DEF_NP,"modal-be,pp_than_NP",leave,the decision of banning smoke,"['should', 'be', 'left']",Industry,"{'pp_than': 'up to the Industry rather than to the government', 'prep_head': 'than'}",0.305922643310161,0.10234042325816962,1.4591479170272448
4,the credit card can be used all over the world,modal-be,pp_over_NP,DEF_NP,"modal-be,pp_over_NP",use,the credit card,"['can', 'be', 'used']",all,"{'pp_over': 'all over the world', 'prep_head': 'over'}",0.33958289435256794,0.18636284684901588,2.7954618442383214
5,the decision should be left up to the industry rather than to the government,modal-be,pp_up_NP,DEF_NP,"modal-be,pp_up_NP",leave,the decision,"['should', 'be', 'left']",industry,"{'pp_up': 'up to the industry rather than to the government', 'prep_head': 'up'}",0.305922643310161,0.10234042325816962,1.5567796494470396
8,the decision should be left up to the industry rather than to the government,modal-be,pp_up_NP,DEF_NP,"modal-be,pp_up_NP",leave,the decision,"['should', 'be', 'left']",industry,"{'pp_up': 'up to the industry rather than to the government', 'prep_head': 'up'}",0.305922643310161,0.10234042325816962,1.5567796494470396
6,the decision should be left up to the industry rather than to the government R,modal-be,pp_up_NP,DEF_NP,"modal-be,pp_up_NP",leave,the decision,"['should', 'be', 'left']",industry,"{'pp_up': 'up to the industry rather than to the government R', 'prep_head': 'up'}",0.305922643310161,0.10234042325816962,1.5567796494470396
7,the decision should be left up to the industry rather than to the government,modal-be,pp_up_NP,DEF_NP,"modal-be,pp_up_NP",leave,the decision,"['should', 'be', 'left']",industry,"{'pp_up': 'up to the industry rather than to the government', 'prep_head': 'up'}",0.305922643310161,0.10234042325816962,1.5567796494470396
9,the decision should be left up to the industry rather than to the government,modal-be,pp_up_NP,DEF_NP,"modal-be,pp_up_NP",leave,the decision,"['should', 'be', 'left']",industry,"{'pp_up': 'up to the industry rather than to the government', 'prep_head': 'up'}",0.305922643310161,0.10234042325816962,1.5567796494470396
10,the decision on whether smoking should be banned in restaurants should be left up to the industry rather than to the government,modal-be,pp_than_NP,DEF_NP,"modal-be,pp_than_NP",leave,the decision on whether smoking should be banned in restaurants,"['should', 'be', 'left']",industry,"{'pp_than': 'up to the industry rather than to the government', 'prep_head': 'than'}",0.305922643310161,0.10234042325816962,1.4591479170272448
9,the decision should be left up to the industry rather than to the government,modal-be,pp_up_NP,DEF_NP,"modal-be,pp_up_NP",leave,the decision,"['should', 'be', 'left']",industry,"{'pp_up': 'up to the industry rather than to the government', 'prep_head': 'up'}",0.305922643310161,0.10234042325816962,1.5567796494470396
12,the decision of banning smoking or not should be left up to the industry rather than to the government,modal-be,pp_up_NP,DEF_NP,"modal-be,pp_up_NP",leave,the decision of banning smoking or not,"['should', 'be', 'left']",industry,"{'pp_up': 'up to the industry rather than to the government', 'prep_head': 'up'}",0.305922643310161,0.10234042325816962,1.5567796494470396
10,the decision should be left up to the industry rather than to the government,modal-be,pp_up_NP,DEF_NP,"modal-be,pp_up_NP",leave,the decision,"['should', 'be', 'left']",industry,"{'pp_up': 'up to the industry rather than to the government', 'prep_head': 'up'}",0.305922643310161,0.10234042325816962,1.5567796494470396
14,this issue should be left up to them rather them the government,modal-be,pp_up_NP,DEF_NP,"modal-be,pp_up_NP",leave,this issue,"['should', 'be', 'left']",rather,"{'pp_up': 'up to them rather them the government', 'prep_head': 'up'}",0.305922643310161,0.10234042325816962,1.5567796494470396
5,the decision should be left up to the industry rather than to the government,modal-be,pp_than_NP,DEF_NP,"modal-be,pp_than_NP",leave,the decision,"['should', 'be', 'left']",industry,"{'pp_than': 'up to the industry rather than to the government', 'prep_head': 'than'}",0.305922643310161,0.10234042325816962,1.4591479170272448
9,the decision should be left up to the industry rather than to the government,modal-be,pp_up_NP,DEF_NP,"modal-be,pp_up_NP",leave,the decision,"['should', 'be', 'left']",industry,"{'pp_up': 'up to the industry rather than to the government', 'prep_head': 'up'}",0.305922643310161,0.10234042325816962,1.5567796494470396
5,the decision should be left up to the industry rather than to the government,modal-be,pp_up_NP,DEF_NP,"modal-be,pp_up_NP",leave,the decision,"['should', 'be', 'left']",industry,"{'pp_up': 'up to the industry rather than to the government', 'prep_head': 'up'}",0.305922643310161,0.10234042325816962,1.5567796494470396
7,the ban of smoking should be left up to the industry not the government,modal-be,pp_up_NP,DEF_NP,"modal-be,pp_up_NP",leave,the ban of smoking,"['should', 'be', 'left']",industry,"{'pp_up': 'up to the industry not the government', 'prep_head': 'up'}",0.305922643310161,0.10234042325816962,1.5567796494470396
1,the later is run along the north board of New Territories,pres-be,pp_along_NP,DEF_NP,"pres-be,pp_along_NP",run,the later,"['is', 'run']",north,"{'pp_along': 'along the north board of New Territories', 'prep_head': 'along'}",0.13522955986479687,0.2695621985089899,2.0
9,was banned out of smoking,past-be,pp_out_NP,DEF_NP,"past-be,pp_out_NP",ban,,"['was', 'banned']",,"{'pp_out': 'out of smoking', 'prep_head': 'out'}",0.10372394567051979,0.1868365240044271,2.725480556997868
12,The decision of whether we should prohibiting smoking in restaurant should be left up to catering industry rather than to the government,modal-be,pp_up_NP,DEF_NP,"modal-be,pp_up_NP",leave,The decision of whether we should prohibiting smoking in restaurant,"['should', 'be', 'left']",catering,"{'pp_up': 'up to catering industry rather than to the government', 'prep_head': 'up'}",0.305922643310161,0.10234042325816962,1.5567796494470396
9,The decisicon should be left up to the industry itself rather than to the government,modal-be,pp_up_NP,DEF_NP,"modal-be,pp_up_NP",leave,The decisicon,"['should', 'be', 'left']",industry,"{'pp_up': 'up to the industry itself rather than to the government', 'prep_head': 'up'}",0.305922643310161,0.10234042325816962,1.5567796494470396
12,that decision should be left up to the industry rather than to the government R,modal-be,pp_up_NP,DEF_NP,"modal-be,pp_up_NP",leave,that decision,"['should', 'be', 'left']",industry,"{'pp_up': 'up to the industry rather than to the government R', 'prep_head': 'up'}",0.305922643310161,0.10234042325816962,1.5567796494470396
2,It is run round the clock,pres-be,pp_round_NP,PRON,"pres-be,pp_round_NP",run,It,"['is', 'run']",clock,"{'pp_round': 'round the clock', 'prep_head': 'round'}",0.13522955986479687,0.2695621985089899,1.0
2,The Lok Ma Chau Spur Line which is the proposed railway line will be constructed across the Long Valley,modal-be,pp_across_NP,PROPN,"modal-be,pp_across_NP",construct,The Lok Ma Chau Spur Line which is the proposed railway line,"['will', 'be', 'constructed']",Long,"{'pp_across': 'across the Long Valley', 'prep_head': 'across', 'pp_into': 'into the Deep Bay Wetland Conservative Area near Mai Po'}",0.2971669694180728,0.20851970959411392,1.0
2,who are rapped o r incest victims who are pregnant under 16,pres-be,pp_o_NP,REL,"pres-be,pp_o_NP",rap,who,"['are', 'rapped']",incest,"{'pp_o': 'o r incest victims who are pregnant under 16', 'prep_head': 'o'}",0.45380359214785665,0.9075354480339132,0.0
4,the agents would be accumulated inside the body,modal-be,pp_inside_NP,PL_NP,"modal-be,pp_inside_NP",accumulate,the agents,"['would', 'be', 'accumulated']",body,"{'pp_inside': 'inside the body', 'prep_head': 'inside'}",0.26924419184801224,0.20851970959411392,2.321928094887362
5,the decision could be left up to the industry,modal-be,pp_up_NP,DEF_NP,"modal-be,pp_up_NP",leave,the decision,"['could', 'be', 'left']",industry,"{'pp_up': 'up to the industry', 'prep_head': 'up'}",0.24823301301067255,0.10234042325816962,1.5567796494470396
9,they will be lagged behind,modal-be,pp_behind_NP,PRON,"modal-be,pp_behind_NP",lag,they,"['will', 'be', 'lagged']",particularly,"{'pp_behind': 'behind', 'prep_head': 'behind'}",0.46368160589879026,0.8751863762607806,1.584962500721156
2,genetic engineering has been developed within several decades,perf-be,pp_within_NP,DEF_NP,"perf-be,pp_within_NP",develop,genetic engineering,"['has', 'been', 'developed']",very,"{'pp_within': 'within several decades', 'prep_head': 'within'}",0.41704531019719937,0.20889343663207133,2.321928094887362
3,Many kinds of programmes are being broadcasting all around the world,prog-be,pp_around_NP,PL_NP,"prog-be,pp_around_NP",broadcast,Many kinds of programmes,"['are', 'being', 'broadcasting']",all,"{'pp_around': 'all around the world', 'prep_head': 'around'}",0.27571426747446187,0.9813550650489694,2.2359263506290326
2,It can be seen throughout the text,modal-be,pp_throughout_NP,PRON,"modal-be,pp_throughout_NP",see,It,"['can', 'be', 'seen']",quite,"{'pp_throughout': 'throughout the text', 'prep_head': 'throughout'}",0.3916651252638653,0.39588063527279665,1.5
2,It can be seen throughout the text,modal-be,pp_throughout_NP,PRON,"modal-be,pp_throughout_NP",see,It,"['can', 'be', 'seen']",quite,"{'pp_throughout': 'throughout the text', 'prep_head': 'throughout'}",0.3916651252638653,0.39588063527279665,1.5
9,the desire of being richer and richer can be seen all over the world,modal-be,pp_over_NP,DEF_NP,"modal-be,pp_over_NP",see,the desire of being richer and richer,"['can', 'be', 'seen']",all,"{'pp_over': 'all over the world', 'prep_head': 'over'}",0.3916651252638653,0.39588063527279665,2.7954618442383214
4,a colour televisor was introduced alongside the black and white televisor,past-be,pp_alongside_NP,INDEF_NP,"past-be,pp_alongside_NP",introduce,a colour televisor,"['was', 'introduced']",black,"{'pp_alongside': 'alongside the black and white televisor', 'prep_head': 'alongside'}",0.10328062555163876,0.1948084627799373,0.0
10,domestic responsibilities should be split down the middle,modal-be,pp_down_NP,PL_NP,"modal-be,pp_down_NP",split,domestic responsibilities,"['should', 'be', 'split']",evenly,"{'pp_down': 'down the middle', 'prep_head': 'down', 'pp_at': 'at the same time that women take the paid fulltime employment'}",0.32551819461704506,0.18287868395308832,0.0
10,People were warned against money,past-be,pp_against_NP,PL_NP,"past-be,pp_against_NP",warn,People,"['were', 'warned']",money,"{'pp_against': 'against money', 'prep_head': 'against', 'pp_as': 'as against one possible obstacle on their way to the kingdom of God'}",0.11438588956901208,0.22786873264142668,1.584962500721156
16,a translation could be used Beside the therm death penalty,modal-be,pp_beside_NP,INDEF_NP,"modal-be,pp_beside_NP",use,a translation,"['could', 'be', 'used']",final,"{'pp_beside': 'Beside the therm death penalty', 'prep_head': 'beside'}",0.2733028640558844,0.18636284684901588,1.0
16,This has been demonstrated within the past few years,perf-be,pp_within_NP,PRON,"perf-be,pp_within_NP",demonstrate,This,"['has', 'been', 'demonstrated']",past,"{'pp_within': 'within the past few years', 'prep_head': 'within'}",0.41971937505987494,0.23205133136891343,2.321928094887362
14,their children can be admitted inspite of the fact they do not pass the entrance exams,modal-be,pp_inspite_NP,PL_NP,"modal-be,pp_inspite_NP",admit,their children,"['can', 'be', 'admitted']",fact,"{'pp_inspite': 'inspite of the fact they do not pass the entrance exams', 'prep_head': 'inspite'}",0.35569461854737255,0.26804351911792346,0.0
9,she s being discriminated against,prog-be,pp_against_NP,PRON,"prog-be,pp_against_NP",discriminate,she,"['s', 'being', 'discriminated']",allowed,"{'pp_against': 'against', 'prep_head': 'against'}",0.28557974074733167,0.15595823965214403,2.321928094887362
8,professionals can be trained notIn my point of view,modal-be,pp_notin_NP,PL_NP,"modal-be,pp_notin_NP",train,professionals,"['can', 'be', 'trained']",better,"{'pp_notin': 'notIn my point of view', 'prep_head': 'notin'}",0.3364699237234956,0.19097584994499112,0.0
9,its life could be prolonged until 2007,modal-be,pp_until_NP,DEF_NP,"modal-be,pp_until_NP",prolong,its life,"['could', 'be', 'prolonged']",,"{'pp_until': 'until 2007', 'prep_head': 'until'}",0.357584944588847,0.5418530429274472,0.0
11,They were erected throughout the Bronze Age up until the Iron Age,past-be,pp_throughout_NP,PRON,"past-be,pp_throughout_NP",erect,They,"['were', 'erected']",Bronze,"{'pp_throughout': 'throughout the Bronze Age up until the Iron Age', 'prep_head': 'throughout'}",0.11408487407014625,0.22786873264142668,2.521640636343318
9,entire encyclopedias can be transmitted over the Internet,modal-be,pp_over_NP,PL_NP,"modal-be,pp_over_NP",transmit,entire encyclopedias,"['can', 'be', 'transmitted']",Internet,"{'pp_over': 'over the Internet', 'prep_head': 'over'}",0.358513319010637,0.2799482810226854,2.7954618442383214
16,The use of an auxiliary language such as Esperanto has been suggested but without much progress,perf-be,pp_without_NP,DEF_NP,"perf-be,pp_without_NP",suggest,The use of an auxiliary language such as Esperanto,"['has', 'been', 'suggested']",much,"{'pp_without': 'but without much progress', 'prep_head': 'without'}",0.40007945872638523,0.15199202818136712,2.0
18,being crushed against the rocks,prog-be,pp_against_NP,DEF_NP,"prog-be,pp_against_NP",crush,,"['being', 'crushed']",rocks,"{'pp_against': 'against the rocks', 'prep_head': 'against'}",0.21365087109038408,0.4257995094934139,2.321928094887362
23,several newspapers can be read via Internet,modal-be,pp_via_NP,PL_NP,"modal-be,pp_via_NP",read,several newspapers,"['can', 'be', 'read']",Internet,"{'pp_via': 'via Internet', 'prep_head': 'via'}",0.38885266634515914,0.40061010507434,2.0
1,crime can be seen around us,modal-be,pp_around_NP,DEF_NP,"modal-be,pp_around_NP",see,crime,"['can', 'be', 'seen']",see,"{'pp_around': 'around us', 'prep_head': 'around'}",0.3916651252638653,0.39588063527279665,2.0
15,peace of nature can be sensed Around six oclock,modal-be,pp_around_NP,DEF_NP,"modal-be,pp_around_NP",sense,peace of nature,"['can', 'be', 'sensed']",almost,"{'pp_around': 'Around six oclock', 'prep_head': 'around'}",0.5071763379444445,0.8751863762607806,2.0
7,which had been concealed upto then,perf-be,pp_upto_NP,REL,"perf-be,pp_upto_NP",conceal,which,"['had', 'been', 'concealed']",then,"{'pp_upto': 'upto then', 'prep_head': 'upto'}",0.28741015522384145,0.135560103298738,0.0
4,Europe can be said to have failed,modal-be,pp_up_NP,PROPN,"modal-be,pp_up_NP",say,Europe,"['can', 'be', 'said']",failed,"{'pp_up': 'up to now', 'prep_head': 'up', 'to_vp': 'to have failed'}",0.345891943316598,0.2178655039866373,1.5567796494470396
10,many improvements have been made towards an adequate insertion of young people into the European system,perf-be,pp_towards_NP,PL_NP,"perf-be,pp_towards_NP",make,many improvements,"['have', 'been', 'made']",adequate,"{'pp_towards': 'towards an adequate insertion of young people into the European system', 'prep_head': 'towards'}",0.3718002411131568,0.1017605694992042,1.0
1,our world will be altered Towards the end of the twentieth century,modal-be,pp_towards_NP,DEF_NP,"modal-be,pp_towards_NP",alter,our world,"['will', 'be', 'altered']",USSR,"{'pp_towards': 'Towards the end of the twentieth century', 'prep_head': 'towards'}",0.3283693089494919,0.3335197095941139,2.75
14,Life and death are mixed althrough the novel,pres-be,pp_althrough_NP,DEF_NP,"pres-be,pp_althrough_NP",mix,Life and death,"['are', 'mixed']",together,"{'pp_althrough': 'althrough the novel', 'prep_head': 'althrough'}",0.21287527352482777,0.42477682734425803,0.0
1,This unity will be destroyed towards the end of the story,modal-be,pp_towards_NP,DEF_NP,"modal-be,pp_towards_NP",destroy,This unity,"['will', 'be', 'destroyed']",end,"{'pp_towards': 'towards the end of the story', 'prep_head': 'towards'}",0.29371247380498783,0.19336819444259878,2.75
6,Comparisons as well as Hitler was consumed by the will to power and domination have been made between Saddam Hussein and Hitler Saddam,perf-be,pp_between_NP,DEF_NP,"perf-be,pp_between_NP",make,Comparisons as well as Hitler was consumed by the will to power and domination,"['have', 'been', 'made']",Saddam,"{'pp_between': 'between Saddam Hussein and Hitler Saddam', 'prep_head': 'between'}",0.3718002411131568,0.1017605694992042,1.584962500721156
9,greater security will be achieved Further inside the frontiers of Europe,modal-be,pp_inside_NP,DEF_NP,"modal-be,pp_inside_NP",achieve,greater security,"['will', 'be', 'achieved']",thanks,"{'pp_inside': 'Further inside the frontiers of Europe', 'prep_head': 'inside'}",0.3341843152745078,0.3526638537382581,2.321928094887362
3,she has been shouted Go home to you ve come where from,perf-be,pp_like_NP,PRON,"perf-be,pp_like_NP",shout,she,"['has', 'been', 'shouted']",Go,"{'pp_like': 'Like most foreigners', 'prep_head': 'like', 'pp_at': 'at', 'to_vp': 'Go home to you ve come where from'}",0.6037278288980225,0.9688934366320713,2.0
7,I was chucked out of the classroom,past-be,pp_out_NP,PRON,"past-be,pp_out_NP",chuck,I,"['was', 'chucked']",classroom,"{'pp_out': 'out of the classroom', 'prep_head': 'out'}",0.48527880137794843,0.97031866686157,2.725480556997868
1,this astonishing popularity can be accounted forWhy,modal-be,pp_forwhy_NP,DEF_NP,"modal-be,pp_forwhy_NP",account,this astonishing popularity,"['can', 'be', 'accounted']",so,"{'pp_forwhy': 'forWhy', 'prep_head': 'forwhy'}",0.4322349180669789,0.5751863762607805,0.0
2,which has been established within literally thousands of years,perf-be,pp_within_NP,REL,"perf-be,pp_within_NP",establish,which,"['has', 'been', 'established']",literally,"{'pp_within': 'within literally thousands of years', 'prep_head': 'within'}",0.39532327145241797,0.13000454774318246,2.321928094887362
6,Harmful industries must be moved outside city boundaries,modal-be,pp_outside_NP,PL_NP,"modal-be,pp_outside_NP",move,Harmful industries,"['must', 'be', 'moved']",city,"{'pp_outside': 'outside city boundaries', 'prep_head': 'outside'}",0.2587784273413661,0.10851970959411393,2.321928094887362
2,Everything should be justified throught experimentations,modal-be,pp_throught_NP,PRON,"modal-be,pp_throught_NP",justify,Everything,"['should', 'be', 'justified']",experimentations,"{'pp_throught': 'throught experimentations', 'prep_head': 'throught'}",0.4257786950308077,0.5820829279849185,0.0
6,it can be seen around us,modal-be,pp_around_NP,PRON,"modal-be,pp_around_NP",see,it,"['can', 'be', 'seen']",individuals,"{'pp_around': 'around us', 'prep_head': 'around', 'pp_in': 'in all those individuals who struggle for a better life and a better future everyday'}",0.3916651252638653,0.39588063527279665,2.0
6,have been gathered around the big cities,perf-be,pp_around_NP,DEF_NP,"perf-be,pp_around_NP",gather,,"['have', 'been', 'gathered']",big,"{'pp_around': 'around the big cities', 'prep_head': 'around'}",0.38194364217888954,0.16889343663207135,1.0
3,animals are provided which withApart from the above,pres-be,pp_withapart_NP,PL_NP,"pres-be,pp_withapart_NP",provide,animals,"['are', 'provided']",above,"{'pp_withapart': 'which withApart from the above', 'prep_head': 'withapart'}",0.13069018822773476,0.25667337906839593,0.0
11,all attention is driven toward the higher level,pres-be,pp_toward_NP,DEF_NP,"pres-be,pp_toward_NP",drive,all attention,"['is', 'driven']",higher,"{'pp_toward': 'toward the higher level', 'prep_head': 'toward'}",0.12017612788801123,0.23938978471588648,1.0
5,no native equivalent will be used outside the official discourse,modal-be,pp_outside_NP,DEF_NP,"modal-be,pp_outside_NP",use,no native equivalent,"['will', 'be', 'used']",official,"{'pp_outside': 'outside the official discourse', 'prep_head': 'outside'}",0.2961009746623664,0.18636284684901588,2.321928094887362
1,This phenomenon can be experienced all over the world However I am absolutely convinced that the situation of using English words and expressions instead of their Hungarian counterparts should be changed for three reasonsFirstly or at least in the Western part of it to which Hungary belongs,modal-be,pp_over_NP,DEF_NP,"modal-be,pp_over_NP",experience,This phenomenon,"['can', 'be', 'experienced']",all,"{'pp_over': 'all over the world However I am absolutely convinced that the situation of using English words and expressions instead of their Hungarian counterparts should be changed for three reasonsFirstly or at least in the Western part of it to which Hungary belongs', 'prep_head': 'over'}",0.31971668954005356,0.1251863762607806,2.7954618442383214
5,the proposition of English originated words have been increased within the language of computers Internet,perf-be,pp_within_NP,DEF_NP,"perf-be,pp_within_NP",increase,the proposition of English originated words,"['have', 'been', 'increased']",language,"{'pp_within': 'within the language of computers Internet', 'prep_head': 'within'}",0.36970620580922636,0.11831872398839319,2.321928094887362
2,The process of americanization and anglicization should be reduced tot he lowest degree,modal-be,pp_tot_NP,DEF_NP,"modal-be,pp_tot_NP",reduce,The process of americanization and anglicization,"['should', 'be', 'reduced']",lowest,"{'pp_tot': 'tot he lowest degree', 'prep_head': 'tot'}",0.387639224847127,0.42611230218670654,0.0
10,it can be said mother languageAs a conclusion,modal-be,pp_languageas_NP,PRON,"modal-be,pp_languageas_NP",say,it,"['can', 'be', 'said']",important,"{'pp_languageas': 'mother languageAs a conclusion', 'prep_head': 'languageas'}",0.345891943316598,0.2178655039866373,0.0
7,can be fought againstIn conclusion,modal-be,pp_againstin_NP,DEF_NP,"modal-be,pp_againstin_NP",fight,,"['can', 'be', 'fought']",conclusion,"{'pp_againstin': 'againstIn conclusion', 'prep_head': 'againstin'}",0.32753649841302535,0.1564363762607806,0.0
8,that should be considered whithin the rules,modal-be,pp_whithin_NP,REL,"modal-be,pp_whithin_NP",consider,that,"['should', 'be', 'considered']",rules,"{'pp_whithin': 'whithin the rules', 'prep_head': 'whithin'}",0.3341911474917791,0.20038962829330093,0.0
12,it can be said appropriatelyAs a conclusion,modal-be,pp_appropriatelyas_NP,PRON,"modal-be,pp_appropriatelyas_NP",say,it,"['can', 'be', 'said']",technique,"{'pp_appropriatelyas': 'appropriatelyAs a conclusion', 'prep_head': 'appropriatelyas'}",0.345891943316598,0.2178655039866373,0.0
10,the intimate atmosphere of personal contact could be reached via,modal-be,pp_via_NP,DEF_NP,"modal-be,pp_via_NP",reach,the intimate atmosphere of personal contact,"['could', 'be', 'reached']",,"{'pp_via': 'via', 'prep_head': 'via'}",0.346018364524781,0.49283343508431005,2.0
