sent_idx,surface,tam,comp,subjtype,pattern,head_lemma,subject_text,aux_chain,following_word,complements,instance_atp,instance_dpb,instance_hr
7,company leaders with an open and practical thinking would be banned form this idea,modal-be,pp_form_NP,PL_NP,"modal-be,pp_form_NP",ban,company leaders with an open and practical thinking,"['would', 'be', 'banned']",idea,"{'pp_form': 'form this idea', 'prep_head': 'form'}",0.2996181644191376,0.32161494768935206,1.584962500721156
7,the third one which is concerned with the rehabilitation of the prisoners can be accomplished over a night,modal-be,pp_over_NP,DEF_NP,"modal-be,pp_over_NP",accomplish,the third one which is concerned with the rehabilitation of the prisoners,"['can', 'be', 'accomplished']",night,"{'pp_over': 'over a night', 'prep_head': 'over'}",0.34297672119366907,0.21804351911792347,2.7954618442383214
6,they are being let due to mathematics,prog-be,pp_due_NP,PRON,"prog-be,pp_due_NP",let,they,"['are', 'being', 'let']",mathematics,"{'pp_due': 'due to mathematics', 'prep_head': 'due'}",0.10116955424787726,0.28135506504896945,2.0
8,that can be used outside of the prison,modal-be,pp_outside_NP,REL,"modal-be,pp_outside_NP",use,that,"['can', 'be', 'used']",prison,"{'pp_outside': 'outside of the prison', 'prep_head': 'outside'}",0.33958289435256794,0.18636284684901588,2.321928094887362
3,them being frozen out of the society,prog-be,pp_out_NP,PRON,"prog-be,pp_out_NP",freeze,them,"['being', 'frozen']",society,"{'pp_out': 'out of the society', 'prep_head': 'out', 'pp_as': 'as a result'}",0.49086987965601137,0.9813550650489694,1.9219280948873623
2,the number of students who attend the universities would be decresed over time,modal-be,pp_over_NP,DEF_NP,"modal-be,pp_over_NP",decrese,the number of students who attend the universities,"['would', 'be', 'decresed']",time,"{'pp_over': 'over time', 'prep_head': 'over'}",0.4359145129511648,0.8751863762607806,2.7954618442383214
8,which can be relied outside the university setting,modal-be,pp_outside_NP,REL,"modal-be,pp_outside_NP",rely,which,"['can', 'be', 'relied']",university,"{'pp_outside': 'outside the university setting', 'prep_head': 'outside'}",0.4447239329297692,0.6251863762607806,2.321928094887362
1,needs and requirements can be found Whit regard to the development and evolution of the edicated population living there,modal-be,pp_whit_NP,PL_NP,"modal-be,pp_whit_NP",find,needs and requirements,"['can', 'be', 'found']",stratum,"{'pp_whit': 'Whit regard to the development and evolution of the edicated population living there', 'prep_head': 'whit', 'pp_in': 'in this stratum of society'}",0.36604567375475194,0.2995233497397198,0.0
1,it is situated near a not big lake,pres-be,pp_near_NP,PRON,"pres-be,pp_near_NP",situate,it,"['is', 'situated']",big,"{'pp_near': 'near a not big lake', 'prep_head': 'near'}",0.20395668082274537,0.4067573204602094,2.0
1,that can be seen across an area of land,modal-be,pp_across_NP,REL,"modal-be,pp_across_NP",see,that,"['can', 'be', 'seen']",area,"{'pp_across': 'across an area of land', 'prep_head': 'across'}",0.3916651252638653,0.39588063527279665,1.0
3,we have been accustomed to consider for a near tomorrow Europe as a sole Nation without borders where we can live in peace with mutual respect When the second world war end the world was divided into two blocks the Soviet and the American one and many Countries defeated were thankful to them for winning their freedom back even if at the cost of human lives,perf-be,pp_along_NP,PRON,"perf-be,pp_along_NP",accustom,we,"['have', 'been', 'accustomed']",school,"{'pp_along': 'along school forms', 'prep_head': 'along', 'to_vp': 'to consider for a near tomorrow Europe as a sole Nation without borders where we can live in peace with mutual respect When the second world war end the world was divided into two blocks the Soviet and the American one and many Countries defeated were thankful to them for winning their freedom back even if at the cost of human lives'}",0.49852389035267874,0.6355601032987379,1.0
11,it must be made above all,modal-be,pp_above_NP,PRON,"modal-be,pp_above_NP",make,it,"['must', 'be', 'made']",good,"{'pp_above': 'above all', 'prep_head': 'above', 'pp_with': 'with good sense'}",0.26126327727083287,0.11120036227476661,1.9182958340544893
9,the possession of firearms could be made tooIn conclusion,modal-be,pp_tooin_NP,DEF_NP,"modal-be,pp_tooin_NP",make,the possession of firearms,"['could', 'be', 'made']",illegal,"{'pp_tooin': 'tooIn conclusion', 'prep_head': 'tooin'}",0.25173652666823654,0.11120036227476661,0.0
11,it should be banned Notwithstanding all that,modal-be,pp_notwithstanding_NP,PRON,"modal-be,pp_notwithstanding_NP",ban,it,"['should', 'be', 'banned']",single,"{'pp_notwithstanding': 'Notwithstanding all that', 'prep_head': 'notwithstanding', 'pp_for': 'for single women'}",0.3622767770597694,0.32161494768935206,0.0
4,they must be married above all,modal-be,pp_above_NP,PRON,"modal-be,pp_above_NP",marry,they,"['must', 'be', 'married']",,"{'pp_above': 'above all', 'prep_head': 'above'}",0.257501140417296,0.10325655169937707,1.9182958340544893
7,he will be punished above all they learn which are the rules in school as in life in general and how to respect them,modal-be,pp_above_NP,PRON,"modal-be,pp_above_NP",punish,he,"['will', 'be', 'punished']",happen,"{'pp_above': 'above all they learn which are the rules in school as in life in general and how to respect them', 'prep_head': 'above'}",0.3357032912102309,0.3547044485499372,1.9182958340544893
7,he will be punished above all they learn which are the rules in school as in life in general and how to respect them,modal-be,pp_above_NP,PRON,"modal-be,pp_above_NP",punish,he,"['will', 'be', 'punished']",happen,"{'pp_above': 'above all they learn which are the rules in school as in life in general and how to respect them', 'prep_head': 'above'}",0.3357032912102309,0.3547044485499372,1.9182958340544893
2,Countless Ainus have been persecuted fro ethnic reasons,perf-be,pp_fro_NP,PROPN,"perf-be,pp_fro_NP",persecute,Countless Ainus,"['have', 'been', 'persecuted']",ethnic,"{'pp_fro': 'fro ethnic reasons', 'prep_head': 'fro'}",0.44565519138094345,0.42343889117752587,1.0
7,a sow will be impregnated form the 4th seven days after to,modal-be,pp_form_NP,INDEF_NP,"modal-be,pp_form_NP",impregnate,a sow,"['will', 'be', 'impregnated']",4th,"{'pp_form': 'form the 4th seven days after to', 'prep_head': 'form'}",0.29701128479563765,0.20851970959411392,1.584962500721156
2,One of the rights is voting Voters can elect leaders recall officials cut taxes and raise money That voting is the most important tool for private citizens to influence their government can be seen throughout American history,modal-be,pp_throughout_NP,DEF_NP,"modal-be,pp_throughout_NP",see,One of the rights is voting Voters can elect leaders recall officials cut taxes and raise money That voting is the most important tool for private citizens to influence their government,"['can', 'be', 'seen']",American,"{'pp_throughout': 'throughout American history', 'prep_head': 'throughout'}",0.3916651252638653,0.39588063527279665,1.5
10,the cellular phone is used near the brain,pres-be,pp_near_NP,DEF_NP,"pres-be,pp_near_NP",use,the cellular phone,"['is', 'used']",brain,"{'pp_near': 'near the brain', 'prep_head': 'near'}",0.10611475649287543,0.18985631615604873,2.0
5,the weapons have been developed than the past,perf-be,pp_than_NP,PL_NP,"perf-be,pp_than_NP",develop,the weapons,"['have', 'been', 'developed']",past,"{'pp_than': 'than the past', 'prep_head': 'than'}",0.39511961882017116,0.20889343663207133,1.0
5,must be improved above all citizenship,modal-be,pp_above_NP,DEF_NP,"modal-be,pp_above_NP",improve,,"['must', 'be', 'improved']",,"{'pp_above': 'above all citizenship', 'prep_head': 'above'}",0.3606512154621939,0.5110245265497979,1.9182958340544893
12,compensation has been allotted amongst group members,perf-be,pp_amongst_NP,DEF_NP,"perf-be,pp_amongst_NP",allot,compensation,"['has', 'been', 'allotted']",equally,"{'pp_amongst': 'amongst group members', 'prep_head': 'amongst'}",0.520449581729707,0.6355601032987379,0.0
3,People of the same nation may be scattered all over the world,modal-be,pp_over_NP,PL_NP,"modal-be,pp_over_NP",scatter,People of the same nation,"['may', 'be', 'scattered']",all,"{'pp_over': 'all over the world', 'prep_head': 'over'}",0.2527473147365403,0.1251863762607806,2.7954618442383214
7,is adden fro a number of times,pres-be,pp_fro_NP,DEF_NP,"pres-be,pp_fro_NP",adden,,"['is', 'adden']",number,"{'pp_fro': 'fro a number of times', 'prep_head': 'fro'}",0.44731210446032155,0.8945621985089899,0.0
6,the information presented to the audiences may be slanted ie,modal-be,pp_ie_NP,DEF_NP,"modal-be,pp_ie_NP",slant,the information presented to the audiences,"['may', 'be', 'slanted']",certain,"{'pp_ie': 'ie', 'prep_head': 'ie'}",0.2735824752881165,0.20851970959411392,0.0
10,Wages are paid per hour worked,pres-be,pp_per_NP,PL_NP,"pres-be,pp_per_NP",pay,Wages,"['are', 'paid']",hour,"{'pp_per': 'per hour worked', 'prep_head': 'per'}",0.11224104064702975,0.21617742334255513,1.0
1,they can be send via a simple email on facebook or other social and filesharing sites,modal-be,pp_via_NP,PRON,"modal-be,pp_via_NP",send,they,"['can', 'be', 'send']",simple,"{'pp_via': 'via a simple email on facebook or other social and filesharing sites', 'prep_head': 'via'}",0.3571708562897156,0.27518637626078063,2.0
9,all of their love will be pointed towards the child,modal-be,pp_towards_NP,PRON,"modal-be,pp_towards_NP",point,all of their love,"['will', 'be', 'pointed']",child,"{'pp_towards': 'towards the child', 'prep_head': 'towards'}",0.3575952040522964,0.44965446136716364,2.75
4,the monotonuos atmosphere in the classroom expressed by the teacher could be centred around the student,modal-be,pp_around_NP,DEF_NP,"modal-be,pp_around_NP",centre,the monotonuos atmosphere in the classroom expressed by the teacher,"['could', 'be', 'centred']",student,"{'pp_around': 'around the student', 'prep_head': 'around'}",0.25338534433830323,0.1251863762607806,2.0
2,We as human beings are born unlike the other animals,pres-be,pp_unlike_NP,PRON,"pres-be,pp_unlike_NP",bear,We as human beings,"['are', 'born']",capacity,"{'pp_unlike': 'unlike the other animals', 'prep_head': 'unlike', 'pp_with': 'with the capacity of discovering new things communicating with one another being able to make rational decisions and reach a higher level of emotional expression'}",0.112207365201536,0.21469077089604233,2.0
1,this process has been accessed up until the 20th century,perf-be,pp_up_NP,DEF_NP,"perf-be,pp_up_NP",access,this process,"['has', 'been', 'accessed']",interpersonal,"{'pp_up': 'up until the 20th century', 'prep_head': 'up', 'pp_through': 'through interpersonal communication'}",0.3894311513028505,0.11175057948921419,2.0
14,Legal substances can be controlled unlike the illegal,modal-be,pp_unlike_NP,PL_NP,"modal-be,pp_unlike_NP",control,Legal substances,"['can', 'be', 'controlled']",illegal,"{'pp_unlike': 'unlike the illegal', 'prep_head': 'unlike'}",0.34647768422192204,0.23021596205959716,0.0
9,it should be chosen over someones life,modal-be,pp_over_NP,PRON,"modal-be,pp_over_NP",choose,it,"['should', 'be', 'chosen']",someones,"{'pp_over': 'over someones life', 'prep_head': 'over'}",0.3138550562940781,0.1356030429274473,2.7954618442383214
26,that are situated near or in them,pres-be,pp_near_NP,REL,"pres-be,pp_near_NP",situate,that,"['are', 'situated']",military,"{'pp_near': 'near or in them', 'prep_head': 'near'}",0.10043362634430081,0.20021837486318145,2.0
14,reality can be made than that,modal-be,pp_than_NP,DEF_NP,"modal-be,pp_than_NP",make,reality,"['can', 'be', 'made']",,"{'pp_than': 'than that', 'prep_head': 'than'}",0.3180165569649201,0.11120036227476661,1.4591479170272448
9,a lot of babys are born withiout being really wanted,pres-be,pp_withiout_NP,INDEF_NP,"pres-be,pp_withiout_NP",bear,a lot of babys,"['are', 'born']",really,"{'pp_withiout': 'withiout being really wanted', 'prep_head': 'withiout'}",0.112207365201536,0.21469077089604233,0.0
18,personal properties like beauty and sex appeal are valued beyond proportion,pres-be,pp_beyond_NP,PL_NP,"pres-be,pp_beyond_NP",value,personal properties like beauty and sex appeal,"['are', 'valued']",proportion,"{'pp_beyond': 'beyond proportion', 'prep_head': 'beyond'}",0.14189304948885206,0.2825354480339132,0.0
24,the results and methods could be implementet all over the world,modal-be,pp_over_NP,PL_NP,"modal-be,pp_over_NP",implementet,the results and methods,"['could', 'be', 'implementet']",all,"{'pp_over': 'all over the world', 'prep_head': 'over'}",0.4408834952923082,0.8751863762607806,2.7954618442383214
2,prisonment would be turned more towards rehabilitation,modal-be,pp_towards_NP,DEF_NP,"modal-be,pp_towards_NP",turn,prisonment,"['would', 'be', 'turned']",more,"{'pp_towards': 'more towards rehabilitation', 'prep_head': 'towards', 'pp_with': 'especially with stress on aftercare'}",0.26671735414657527,0.19740859848300285,2.75
6,being let out of big prisons,prog-be,pp_out_NP,DEF_NP,"prog-be,pp_out_NP",let,,"['being', 'let']",big,"{'pp_out': 'out of big prisons', 'prep_head': 'out', 'pp_after': 'after serving a sentence of maybe 20 yearsEspecially'}",0.1417804532028421,0.28135506504896945,1.9219280948873623
6,being let out of big prisons,prog-be,pp_out_NP,DEF_NP,"prog-be,pp_out_NP",let,,"['being', 'let']",big,"{'pp_out': 'out of big prisons', 'prep_head': 'out', 'pp_after': 'after serving a sentence of maybe 20 yearsEspecially'}",0.1417804532028421,0.28135506504896945,1.9219280948873623
4,Leonardo Da Vinci was born outside of marriage,past-be,pp_outside_NP,PROPN,"past-be,pp_outside_NP",bear,Leonardo Da Vinci,"['was', 'born']",marriage,"{'pp_outside': 'outside of marriage', 'prep_head': 'outside'}",0.12445796936627494,0.2181371659889696,1.0
9,Some of its advantages are given below 1,pres-be,pp_below_NP,PRON,"pres-be,pp_below_NP",give,Some of its advantages,"['are', 'given']",,"{'pp_below': 'below 1', 'prep_head': 'below'}",0.10295896409576127,0.18867731654602388,0.0
6,should be controlled Over population,modal-be,pp_over_NP,DEF_NP,"modal-be,pp_over_NP",control,,"['should', 'be', 'controlled']",balance,"{'pp_over': 'Over population', 'prep_head': 'over'}",0.3378872842247269,0.23021596205959716,2.7954618442383214
6,should be controlled Over population,modal-be,pp_over_NP,DEF_NP,"modal-be,pp_over_NP",control,,"['should', 'be', 'controlled']",balance,"{'pp_over': 'Over population', 'prep_head': 'over'}",0.3378872842247269,0.23021596205959716,2.7954618442383214
2,the drugs and arms can be found Even inside the prisons,modal-be,pp_inside_NP,PL_NP,"modal-be,pp_inside_NP",find,the drugs and arms,"['can', 'be', 'found']",easily,"{'pp_inside': 'Even inside the prisons', 'prep_head': 'inside'}",0.36604567375475194,0.2995233497397198,2.321928094887362
15,that is situated above our heads,pres-be,pp_above_NP,REL,"pres-be,pp_above_NP",situate,that,"['is', 'situated']",heads,"{'pp_above': 'above our heads', 'prep_head': 'above'}",0.20395668082274537,0.4067573204602094,2.0
1,These problems are given below 1,pres-be,pp_below_NP,PL_NP,"pres-be,pp_below_NP",give,These problems,"['are', 'given']",,"{'pp_below': 'below 1', 'prep_head': 'below'}",0.10295896409576127,0.18867731654602388,0.0
4,They should be trained ion such a subline and strong way that they should be forced to follow the rules and regulations made by management,modal-be,pp_ion_NP,PRON,"modal-be,pp_ion_NP",train,They,"['should', 'be', 'trained']",subline,"{'pp_ion': 'ion such a subline and strong way that they should be forced to follow the rules and regulations made by management', 'prep_head': 'ion'}",0.32787952372630047,0.19097584994499112,0.0
9,If should be promoted up to higher level,modal-be,pp_up_NP,PRON,"modal-be,pp_up_NP",promote,If,"['should', 'be', 'promoted']",higher,"{'pp_up': 'up to higher level', 'prep_head': 'up', 'pp_as': 'as a torch of the way'}",0.3704689163799761,0.3612974873718917,1.5567796494470396
9,If should be promoted up to higher level,modal-be,pp_up_NP,PRON,"modal-be,pp_up_NP",promote,If,"['should', 'be', 'promoted']",higher,"{'pp_up': 'up to higher level', 'prep_head': 'up', 'pp_as': 'as a torch of the way'}",0.3704689163799761,0.3612974873718917,1.5567796494470396
5,the word of poor will be deleted form this statment,modal-be,pp_form_NP,DEF_NP,"modal-be,pp_form_NP",delete,the word of poor,"['will', 'be', 'deleted']",statment,"{'pp_form': 'form this statment', 'prep_head': 'form', 'pp_in': 'in a successfull family always leaded by a good head of family'}",0.3803592577026666,0.5418530429274472,1.584962500721156
1,which can be observed arround us,modal-be,pp_arround_NP,REL,"modal-be,pp_arround_NP",observe,which,"['can', 'be', 'observed']",Firstly,"{'pp_arround': 'arround us', 'prep_head': 'arround'}",0.3808010231345881,0.36712186013174836,0.0
2,man can be put above any other species on earth,modal-be,pp_above_NP,DEF_NP,"modal-be,pp_above_NP",put,man,"['can', 'be', 'put']",other,"{'pp_above': 'above any other species on earth', 'prep_head': 'above'}",0.3229602634252329,0.13528738636179072,1.9182958340544893
10,the society was prejudiced against such out of wedlock children,past-be,pp_against_NP,DEF_NP,"past-be,pp_against_NP",prejudice,the society,"['was', 'prejudiced']",such,"{'pp_against': 'against such out of wedlock children', 'prep_head': 'against'}",0.3187279482219593,0.6369853335282366,1.584962500721156
6,a resolution which would allow the universities to become more autonomous and to eliminate their traditional stiffness so that they could raise money they are in short of in great part by themselves is needed Above all,pres-be,pp_above_NP,DEF_NP,"pres-be,pp_above_NP",need,a resolution which would allow the universities to become more autonomous and to eliminate their traditional stiffness so that they could raise money they are in short of in great part by themselves,"['is', 'needed']",allow,"{'pp_above': 'Above all', 'prep_head': 'above'}",0.26275542671461416,0.5061774435180643,2.0
3,It has been proven beyond any doubt,perf-be,pp_beyond_NP,PRON,"perf-be,pp_beyond_NP",prove,It,"['has', 'been', 'proven']",doubt,"{'pp_beyond': 'beyond any doubt', 'prep_head': 'beyond'}",0.47951211899197493,0.4630110836908949,1.0
1,such primitive vertebrate breeding was superceded thru which,past-be,pp_thru_NP,DEF_NP,"past-be,pp_thru_NP",supercede,such primitive vertebrate breeding,"['was', 'superceded']",increasingly,"{'pp_thru': 'thru which', 'prep_head': 'thru', 'pp_under': 'under increasingly deliberative but still survivalofthefittest peckingorderbased rationale'}",0.48527880137794843,0.97031866686157,0.0
8,the baby is considered to be a boy,pres-be,pp_inspite_NP,DEF_NP,"pres-be,pp_inspite_NP",consider,the baby,"['is', 'considered']",boy,"{'to_vp': 'to be a boy', 'pp_inspite': 'inspite of his primary sexual indications', 'prep_head': 'inspite'}",0.10058768868602143,0.18250257791278393,0.0
6,featuresHawthornes brilliant portrayal of moral conflicts within an individual should not be hidden from the eyes of students because the characters language is profane should be taken off the shelves,modal-be,pp_off_NP,DEF_NP,"modal-be,pp_off_NP",take,featuresHawthornes brilliant portrayal of moral conflicts within an individual should not be hidden from the eyes of students because the characters language is profane,"['should', 'be', 'taken']",shelves,"{'pp_off': 'off the shelves', 'prep_head': 'off', 'pp_like': 'just like Fitzgeralds novel'}",0.36273122130431146,0.31654066888472254,1.0
4,which are aimed a bettering our teaching skills,pres-be,pp_a_NP,REL,"pres-be,pp_a_NP",aim,which,"['are', 'aimed']",bettering,"{'pp_a': 'a bettering our teaching skills', 'prep_head': 'a'}",0.11771111542679018,0.2344585249569901,0.0
3,Her daughter was born out of wedlock,past-be,pp_out_NP,DEF_NP,"past-be,pp_out_NP",bear,Her daughter,"['was', 'born']",wedlock,"{'pp_out': 'out of wedlock', 'prep_head': 'out'}",0.12445796936627494,0.2181371659889696,2.725480556997868
2,More about adoption will be discussed throughout the next couple of paragraphs,modal-be,pp_throughout_NP,DEF_NP,"modal-be,pp_throughout_NP",discuss,More about adoption,"['will', 'be', 'discussed']",next,"{'pp_throughout': 'throughout the next couple of paragraphs', 'prep_head': 'throughout'}",0.3144194137776236,0.27324462868796506,1.5
6,This could be accomplished over a longer period of time,modal-be,pp_over_NP,PRON,"modal-be,pp_over_NP",accomplish,This,"['could', 'be', 'accomplished']",longer,"{'pp_over': 'over a longer period of time', 'prep_head': 'over'}",0.2766966908969855,0.21804351911792347,2.7954618442383214
10,that was shipwrecked toward a desert island,past-be,pp_toward_NP,REL,"past-be,pp_toward_NP",shipwreck,that,"['was', 'shipwrecked']",desert,"{'pp_toward': 'toward a desert island', 'prep_head': 'toward'}",0.48527880137794843,0.97031866686157,0.9182958340544896
3,television was introduced throghout the world,past-be,pp_throghout_NP,DEF_NP,"past-be,pp_throghout_NP",introduce,television,"['was', 'introduced']",world,"{'pp_throghout': 'throghout the world', 'prep_head': 'throghout'}",0.10328062555163876,0.1948084627799373,0.0
15,Women capacity to work has been demonstrated thorughout history,perf-be,pp_thorughout_NP,DEF_NP,"perf-be,pp_thorughout_NP",demonstrate,Women capacity to work,"['has', 'been', 'demonstrated']",history,"{'pp_thorughout': 'thorughout history', 'prep_head': 'thorughout'}",0.41971937505987494,0.23205133136891343,0.0
7,a problem of colective mind can be found behind both phenomenons religion and television,modal-be,pp_behind_NP,INDEF_NP,"modal-be,pp_behind_NP",find,a problem of colective mind,"['can', 'be', 'found']",phenomenons,"{'pp_behind': 'behind both phenomenons religion and television', 'prep_head': 'behind', 'pp_for': 'For example'}",0.36604567375475194,0.2995233497397198,1.584962500721156
6,Social conventions are represented along the play,pres-be,pp_along_NP,PL_NP,"pres-be,pp_along_NP",represent,Social conventions,"['are', 'represented']",play,"{'pp_along': 'along the play', 'prep_head': 'along'}",0.10838795602970147,0.21522775572622088,2.0
5,Most inventions have been developed like this,perf-be,pp_like_NP,PL_NP,"perf-be,pp_like_NP",develop,Most inventions,"['have', 'been', 'developed']",,"{'pp_like': 'like this', 'prep_head': 'like'}",0.39511961882017116,0.20889343663207133,2.0
4,heavy silverbangles can be seen above their pointed shoes,modal-be,pp_above_NP,PL_NP,"modal-be,pp_above_NP",see,heavy silverbangles,"['can', 'be', 'seen']",,"{'pp_above': 'above their pointed shoes', 'prep_head': 'above'}",0.3916651252638653,0.39588063527279665,1.9182958340544893
8,to have been carved out of pure gold,perf-be,pp_out_NP,DEF_NP,"perf-be,pp_out_NP",carve,,"['to', 'have', 'been', 'carved']",pure,"{'pp_out': 'out of pure gold', 'prep_head': 'out'}",0.41211954247316934,0.30222676996540465,2.321928094887362
6,it has been proved within the field of marketing,perf-be,pp_within_NP,PRON,"perf-be,pp_within_NP",prove,it,"['has', 'been', 'proved']",advertizement,"{'pp_within': 'within the field of marketing', 'prep_head': 'within'}",0.4436187288684307,0.3137210228389679,2.321928094887362
1,it can be found all over the world,modal-be,pp_over_NP,PRON,"modal-be,pp_over_NP",find,it,"['can', 'be', 'found']",all,"{'pp_over': 'all over the world', 'prep_head': 'over'}",0.36604567375475194,0.2995233497397198,2.7954618442383214
10,they are taught up to that moment,pres-be,pp_up_NP,PRON,"pres-be,pp_up_NP",teach,they,"['are', 'taught']",moment,"{'pp_up': 'up to that moment', 'prep_head': 'up'}",0.11010438234353352,0.2120621970051066,1.9219280948873623
10,they are taught up to that moment,pres-be,pp_up_NP,PRON,"pres-be,pp_up_NP",teach,they,"['are', 'taught']",moment,"{'pp_up': 'up to that moment', 'prep_head': 'up'}",0.11010438234353352,0.2120621970051066,1.9219280948873623
15,euthanasia should be allowed up to now,modal-be,pp_up_NP,DEF_NP,"modal-be,pp_up_NP",allow,euthanasia,"['should', 'be', 'allowed']",has,"{'pp_up': 'up to now', 'prep_head': 'up'}",0.3504726992172006,0.26785653332884346,1.5567796494470396
11,they should be allowed to involve in that condition no longer,modal-be,pp_beside_NP,PRON,"modal-be,pp_beside_NP",allow,they,"['should', 'be', 'allowed']",involve,"{'pp_beside': 'Beside the terminal illness of patient', 'prep_head': 'beside', 'to_vp': 'to involve in that condition no longer'}",0.3504726992172006,0.26785653332884346,1.0
13,Euthanasia should be allowed all over the world,modal-be,pp_over_NP,DEF_NP,"modal-be,pp_over_NP",allow,Euthanasia,"['should', 'be', 'allowed']",all,"{'pp_over': 'all over the world', 'prep_head': 'over', 'pp_for': 'for human rights'}",0.3504726992172006,0.26785653332884346,2.7954618442383214
11,the control must be attained over the information source not the information flow,modal-be,pp_over_NP,DEF_NP,"modal-be,pp_over_NP",attain,the control,"['must', 'be', 'attained']",information,"{'pp_over': 'over the information source not the information flow', 'prep_head': 'over'}",0.35676459378452086,0.5001863762607806,2.7954618442383214
10,it is expressed above,pres-be,pp_above_NP,PRON,"pres-be,pp_above_NP",express,it,"['is', 'expressed']",reasons,"{'pp_above': 'above', 'prep_head': 'above'}",0.18979817860217443,0.37732081919864513,2.0
4,It was conceived over two years,past-be,pp_over_NP,PRON,"past-be,pp_over_NP",conceive,It,"['was', 'conceived']",years,"{'pp_over': 'over two years', 'prep_head': 'over', 'pp_in': 'in meetings with more than 50 international academics', 'pp_with': 'with a goal of structing the university of the future'}",0.18584325118539266,0.37031866686156995,2.049452072789394
4,For instance ambitions are high at Sabanci University whose campus sits on a dreary hillside It was conceived over two years in meetings with more than 50 international academics with a goal of structing the university of the future Equipment and classrooms are state of the art given laptops 8000 internet connections are scattered across the campus,pres-be,pp_across_NP,DEF_NP,"pres-be,pp_across_NP",scatter,For instance ambitions are high at Sabanci University whose campus sits on a dreary hillside It was conceived over two years in meetings with more than 50 international academics with a goal of structing the university of the future Equipment and classrooms are state of the art given laptops 8000 internet connections,"['are', 'scattered']",campus,"{'pp_across': 'across the campus', 'prep_head': 'across', 'pp_from': 'from classrooms to grassy outdoor areas'}",0.20383215140578498,0.4075354480339132,2.0
11,Kids should be taken off the corners of the street,modal-be,pp_off_NP,PL_NP,"modal-be,pp_off_NP",take,Kids,"['should', 'be', 'taken']",corners,"{'pp_off': 'off the corners of the street', 'prep_head': 'off'}",0.36273122130431146,0.31654066888472254,1.0
1,it is transmitted amongst other thing,pres-be,pp_amongst_NP,PRON,"pres-be,pp_amongst_NP",transmit,it,"['is', 'transmitted']",other,"{'pp_amongst': 'amongst other thing', 'prep_head': 'amongst', 'pp_through': 'through Sexual intercourse'}",0.11427951458112895,0.22789553184232322,2.0
5,the rule of law should be applied equaly amangst all,modal-be,pp_amangst_NP,DEF_NP,"modal-be,pp_amangst_NP",apply,the rule of law,"['should', 'be', 'applied']",equaly,"{'pp_amangst': 'equaly amangst all', 'prep_head': 'amangst'}",0.39011295326367745,0.43593403981218243,0.0
5,the rule of law should be applied equaly amangst all,modal-be,pp_amangst_NP,DEF_NP,"modal-be,pp_amangst_NP",apply,the rule of law,"['should', 'be', 'applied']",equaly,"{'pp_amangst': 'equaly amangst all', 'prep_head': 'amangst'}",0.39011295326367745,0.43593403981218243,0.0
6,Those people who are also trained for the rehabilitation programes are required unlike the prisoner officers who are just there,pres-be,pp_unlike_NP,PL_NP,"pres-be,pp_unlike_NP",require,Those people who are also trained for the rehabilitation programes,"['are', 'required']",prisoner,"{'pp_unlike': 'unlike the prisoner officers who are just there', 'prep_head': 'unlike'}",0.13501750878134214,0.2644127714539875,2.0
13,save sex should be promoted amongst sex workers,modal-be,pp_amongst_NP,DEF_NP,"modal-be,pp_amongst_NP",promote,save sex,"['should', 'be', 'promoted']",sex,"{'pp_amongst': 'amongst sex workers', 'prep_head': 'amongst'}",0.3704689163799761,0.3612974873718917,0.0
13,HIVAIDS is spread amongst them,pres-be,pp_amongst_NP,PROPN,"pres-be,pp_amongst_NP",spread,HIVAIDS,"['is', 'spread']",mostly,"{'pp_amongst': 'amongst them', 'prep_head': 'amongst'}",0.16691097814225755,0.33145540239248505,2.0
